date,sdnModelFile,forwardingPropsFilePath,strategy,depth,modelBranchCounts,tracesGenTime,maudeExecTime,traceGenCacheHits,traceGenCacheMisses,generatedTraces,katchExecTime,katchCacheHits,katchCacheMisses,harmfulRaces,traceAnalyzerExecTime,totalExecTime
2025-06-30;16:33:37,independent_controllers.json,forwarding_props_no_H3_to_H2.json,pbfs,7,C1:3;C2:3;BSw:7,19.079621539000073,0.25269488000049023,436,176,736344,58.20052910706727,4394002,126,24,112.57433843800027,131.65395997700034
2025-06-30;16:37:32,independent_controllers.json,forwarding_props_no_H3_to_H2.json,bfs,7,C1:3;C2:3;BSw:7,17.768138256000384,0.07093482002164819,125202,176,736344,57.82932109334797,4394002,126,24,112.41734020199874,130.18547845799912
